Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,
20221220_174736,37,82,138,,,,,,,,,,,
20221220_174736,39,78,140,,,,,,,,,,,
20221220_174736,36,86,131,,,,,,,,,,,
20221220_174736,34,80,122,,,,,,,,,,,
20221220_174736,33,80,127,,,,,,,,,,,
20221220_174736,43,91,127,,,,,,,,,,,
20221220_174736,32,84,122,,,,,,,,,,,
20221220_174736,38,85,120,,,,,,,,,,,
20221220_174736,38,86,122,,,,,,,,,,,
20221220_174736,35,84,116,,,,,,,,,,,
20221220_174736,32,80,132,,,,,,,,,,,
20221220_174736,32,84,128,,,,,,,,,,,
20221220_174736,29,75,129,,,,,,,,,,,
20221220_174736,33,86,127,,,,,,,,,,,
20221220_174736,43,79,130,,,,,,,,,,,
20221220_174736,43,80,123,,,,,,,,,,,
20221220_174737,34,91,133,,,,,,,,,,,
20221220_174737,37,91,127,,,,,,,,,,,
20221220_174737,45,89,134,,,,,,,,,,,
20221220_174737,38,82,133,,,,,,,,,,,
20221220_174737,32,84,129,,,,,,,,,,,
20221220_174737,34,78,118,,,,,,,,,,,
20221220_174737,36,83,119,,,,,,,,,,,
20221220_174737,35,79,123,,,,,,,,,,,
20221220_174737,36,94,129,,,,,,,,,,,
20221220_174737,42,88,112,,,,,,,,,,,
20221220_174737,42,80,132,,,,,,,,,,,
20221220_174737,35,89,132,,,,,,,,,,,
20221220_174737,35,88,129,,,,,,,,,,,
20221220_174737,37,90,124,,,,,,,,,,,
20221220_174737,38,78,125,,,,,,,,,,,
20221220_174737,41,78,124,,,,,,,,,,,
20221220_174737,34,71,118,,,,,,,,,,,
20221220_174738,36,80,115,,,,,,,,,,,
20221220_174738,36,83,120,,,,,,,,,,,
20221220_174738,32,84,118,,,,,,,,,,,
20221220_174738,36,86,126,,,,,,,,,,,
20221220_174738,35,87,116,,,,,,,,,,,
20221220_174738,37,91,130,,,,,,,,,,,
20221220_174738,36,89,133,,,,,,,,,,,
20221220_174738,33,74,123,,,,,,,,,,,
20221220_174738,31,84,136,,,,,,,,,,,
20221220_174738,37,83,115,,,,,,,,,,,
20221220_174738,34,79,119,,,,,,,,,,,
20221220_174738,36,88,118,,,,,,,,,,,
20221220_174738,42,82,122,,,,,,,,,,,
20221220_174738,35,85,128,,,,,,,,,,,
20221220_174738,44,75,126,,,,,,,,,,,
20221220_174738,38,77,133,,,,,,,,,,,
20221220_174738,43,78,130,,,,,,,,,,,
20221220_174738,34,87,134,,,,,,,,,,,
20221220_174739,36,74,123,,,,,,,,,,,
20221220_174739,41,80,122,,,,,,,,,,,
20221220_174739,36,68,124,,,,,,,,,,,
20221220_174739,36,77,133,,,,,,,,,,,
20221220_174739,37,86,120,,,,,,,,,,,
20221220_174739,42,80,129,,,,,,,,,,,
20221220_174739,35,85,116,,,,,,,,,,,
20221220_174739,36,86,138,,,,,,,,,,,
20221220_174739,41,76,116,,,,,,,,,,,
20221220_174739,41,85,127,,,,,,,,,,,
20221220_174739,37,83,123,,,,,,,,,,,
20221220_174739,39,85,116,,,,,,,,,,,
20221220_174739,29,79,132,,,,,,,,,,,
20221220_174739,47,84,116,,,,,,,,,,,
20221220_174739,35,85,139,,,,,,,,,,,
20221220_174739,36,84,133,,,,,,,,,,,
20221220_174739,42,86,130,,,,,,,,,,,
20221220_174739,41,83,118,,,,,,,,,,,
20221220_174740,38,77,119,,,,,,,,,,,
20221220_174740,43,85,115,,,,,,,,,,,
20221220_174740,34,83,122,,,,,,,,,,,
20221220_174740,36,82,138,,,,,,,,,,,
20221220_174740,39,78,131,,,,,,,,,,,
20221220_174740,37,88,127,,,,,,,,,,,
20221220_174740,36,80,122,,,,,,,,,,,
20221220_174740,43,78,129,,,,,,,,,,,
20221220_174740,35,83,126,,,,,,,,,,,
20221220_174740,34,85,125,,,,,,,,,,,
20221220_174740,30,82,116,,,,,,,,,,,
20221220_174740,35,74,123,,,,,,,,,,,
20221220_174740,34,80,115,,,,,,,,,,,
20221220_174740,35,80,128,,,,,,,,,,,
20221220_174740,36,91,129,,,,,,,,,,,
20221220_174740,38,73,128,,,,,,,,,,,
20221220_174740,35,85,135,,,,,,,,,,,
20221220_174740,38,78,126,,,,,,,,,,,
20221220_174741,39,82,139,,,,,,,,,,,
20221220_174741,42,88,127,,,,,,,,,,,
20221220_174741,37,77,120,,,,,,,,,,,
20221220_174741,41,88,124,,,,,,,,,,,
20221220_174741,35,86,131,,,,,,,,,,,
20221220_174741,35,85,130,,,,,,,,,,,
20221220_174741,36,85,131,,,,,,,,,,,
20221220_174741,42,78,127,,,,,,,,,,,
20221220_174741,36,80,123,,,,,,,,,,,
20221220_174741,38,80,119,,,,,,,,,,,
20221220_174741,44,87,116,,,,,,,,,,,
20221220_174741,36,84,119,,,,,,,,,,,
20221220_174741,42,83,131,,,,,,,,,,,
20221220_174741,35,80,131,,,,,,,,,,,
20221220_174741,42,87,135,,,,,,,,,,,
20221220_174741,41,80,,,,,,,,,,,,
20221220_174741,43,74,,,,,,,,,,,,
20221220_174742,41,77,,,,,,,,,,,,
20221220_174742,33,86,,,,,,,,,,,,
20221220_174742,36,83,,,,,,,,,,,,
20221220_174742,36,79,,,,,,,,,,,,
20221220_174742,37,80,,,,,,,,,,,,
20221220_174742,37,79,,,,,,,,,,,,
20221220_174742,39,88,,,,,,,,,,,,
20221220_174742,35,,,,,,,,,,,,,
20221220_174742,39,,,,,,,,,,,,,
20221220_174742,37,,,,,,,,,,,,,
20221220_174742,31,,,,,,,,,,,,,
20221220_174742,34,,,,,,,,,,,,,
20221220_174742,37,,,,,,,,,,,,,
20221220_174742,39,,,,,,,,,,,,,
20221220_174742,44,,,,,,,,,,,,,
20221220_174742,37,,,,,,,,,,,,,
20221220_174742,36,,,,,,,,,,,,,
20221220_174742,33,,,,,,,,,,,,,
20221220_174743,43,,,,,,,,,,,,,
20221220_174743,32,,,,,,,,,,,,,
20221220_174743,44,,,,,,,,,,,,,
20221220_174743,41,,,,,,,,,,,,,
20221220_174743,46,,,,,,,,,,,,,
20221220_174743,41,,,,,,,,,,,,,
20221220_174743,33,,,,,,,,,,,,,
20221220_174743,35,,,,,,,,,,,,,
20221220_174743,41,,,,,,,,,,,,,
20221220_174743,32,,,,,,,,,,,,,
20221220_174743,43,,,,,,,,,,,,,
20221220_174743,42,,,,,,,,,,,,,
20221220_174743,32,,,,,,,,,,,,,
20221220_174743,35,,,,,,,,,,,,,
20221220_174743,43,,,,,,,,,,,,,
20221220_174743,41,,,,,,,,,,,,,
20221220_174743,38,,,,,,,,,,,,,
20221220_174743,38,,,,,,,,,,,,,
20221220_174744,37,,,,,,,,,,,,,
20221220_174744,42,,,,,,,,,,,,,
20221220_174744,44,,,,,,,,,,,,,
20221220_174744,37,,,,,,,,,,,,,
20221220_174744,36,,,,,,,,,,,,,
20221220_174744,34,,,,,,,,,,,,,
20221220_174744,43,,,,,,,,,,,,,
20221220_174744,38,,,,,,,,,,,,,
20221220_174744,37,,,,,,,,,,,,,
20221220_174744,46,,,,,,,,,,,,,
20221220_174744,38,,,,,,,,,,,,,
20221220_174744,35,,,,,,,,,,,,,
20221220_174744,37,,,,,,,,,,,,,
20221220_174744,33,,,,,,,,,,,,,
20221220_174744,39,,,,,,,,,,,,,
20221220_174744,36,,,,,,,,,,,,,
20221220_174744,44,,,,,,,,,,,,,
20221220_174744,35,,,,,,,,,,,,,
20221220_174745,36,,,,,,,,,,,,,
20221220_174745,37,,,,,,,,,,,,,
20221220_174745,31,,,,,,,,,,,,,
20221220_174745,37,,,,,,,,,,,,,
20221220_174745,34,,,,,,,,,,,,,
20221220_174745,38,,,,,,,,,,,,,
20221220_174745,32,,,,,,,,,,,,,
20221220_174745,37,,,,,,,,,,,,,
20221220_174745,41,,,,,,,,,,,,,
20221220_174745,39,,,,,,,,,,,,,
20221220_174745,41,,,,,,,,,,,,,
20221220_174745,37,,,,,,,,,,,,,
20221220_174745,39,,,,,,,,,,,,,
20221220_174745,29,,,,,,,,,,,,,
20221220_174745,42,,,,,,,,,,,,,
20221220_174745,43,,,,,,,,,,,,,
20221220_174745,34,,,,,,,,,,,,,
20221220_174746,37,,,,,,,,,,,,,
20221220_174746,39,,,,,,,,,,,,,
20221220_174746,46,,,,,,,,,,,,,
20221220_174746,36,,,,,,,,,,,,,
20221220_174746,41,,,,,,,,,,,,,
20221220_174746,35,,,,,,,,,,,,,
20221220_174746,41,,,,,,,,,,,,,
20221220_174746,37,,,,,,,,,,,,,
20221220_174746,35,,,,,,,,,,,,,
20221220_174746,36,,,,,,,,,,,,,
20221220_174746,35,,,,,,,,,,,,,
20221220_174746,38,,,,,,,,,,,,,
20221220_174746,36,,,,,,,,,,,,,
20221220_174746,37,,,,,,,,,,,,,
20221220_174746,38,,,,,,,,,,,,,
20221220_174746,34,,,,,,,,,,,,,
20221220_174746,36,,,,,,,,,,,,,
20221220_174746,39,,,,,,,,,,,,,
20221220_174747,39,,,,,,,,,,,,,
20221220_174747,30,,,,,,,,,,,,,
20221220_174747,38,,,,,,,,,,,,,
20221220_174747,35,,,,,,,,,,,,,
20221220_174747,43,,,,,,,,,,,,,
20221220_174747,41,,,,,,,,,,,,,
20221220_174747,36,,,,,,,,,,,,,
20221220_174747,36,,,,,,,,,,,,,
20221220_174747,35,,,,,,,,,,,,,
20221220_174747,37,,,,,,,,,,,,,
20221220_174747,33,,,,,,,,,,,,,
20221220_174747,36,,,,,,,,,,,,,
20221220_174747,39,,,,,,,,,,,,,
20221220_174747,32,,,,,,,,,,,,,
20221220_174747,41,,,,,,,,,,,,,
20221220_174747,43,,,,,,,,,,,,,
20221220_174747,44,,,,,,,,,,,,,
20221220_174747,42,,,,,,,,,,,,,
20221220_174748,46,,,,,,,,,,,,,
20221220_174748,38,,,,,,,,,,,,,
20221220_174748,42,,,,,,,,,,,,,
20221220_174748,44,,,,,,,,,,,,,
20221220_174748,48,,,,,,,,,,,,,
20221220_174748,33,,,,,,,,,,,,,
20221220_174748,43,,,,,,,,,,,,,
20221220_174748,37,,,,,,,,,,,,,
20221220_174748,37,,,,,,,,,,,,,
20221220_174748,34,,,,,,,,,,,,,
20221220_174748,38,,,,,,,,,,,,,
20221220_174748,35,,,,,,,,,,,,,
20221220_174748,39,,,,,,,,,,,,,
20221220_174748,34,,,,,,,,,,,,,
20221220_174748,39,,,,,,,,,,,,,
20221220_174748,38,,,,,,,,,,,,,
20221220_174748,36,,,,,,,,,,,,,
20221220_174748,45,,,,,,,,,,,,,
20221220_174749,39,,,,,,,,,,,,,
20221220_174749,44,,,,,,,,,,,,,
20221220_174749,41,,,,,,,,,,,,,
20221220_174749,42,,,,,,,,,,,,,
20221220_174749,38,,,,,,,,,,,,,
20221220_174749,42,,,,,,,,,,,,,
20221220_174749,39,,,,,,,,,,,,,
20221220_174749,41,,,,,,,,,,,,,
20221220_174749,37,,,,,,,,,,,,,
20221220_174749,41,,,,,,,,,,,,,
20221220_174749,42,,,,,,,,,,,,,
20221220_174749,39,,,,,,,,,,,,,
20221220_174749,43,,,,,,,,,,,,,
20221220_174749,36,,,,,,,,,,,,,
20221220_174749,39,,,,,,,,,,,,,
20221220_174749,33,,,,,,,,,,,,,
20221220_174749,37,,,,,,,,,,,,,
20221220_174749,38,,,,,,,,,,,,,
20221220_174750,36,,,,,,,,,,,,,
20221220_174750,34,,,,,,,,,,,,,
20221220_174750,42,,,,,,,,,,,,,
20221220_174750,37,,,,,,,,,,,,,
20221220_174750,38,,,,,,,,,,,,,
20221220_174750,37,,,,,,,,,,,,,
20221220_174750,33,,,,,,,,,,,,,
20221220_174750,39,,,,,,,,,,,,,
20221220_174750,42,,,,,,,,,,,,,
20221220_174750,37,,,,,,,,,,,,,
20221220_174750,46,,,,,,,,,,,,,
20221220_174750,38,,,,,,,,,,,,,
20221220_174750,35,,,,,,,,,,,,,
20221220_174750,41,,,,,,,,,,,,,
20221220_174750,39,,,,,,,,,,,,,
20221220_174750,38,,,,,,,,,,,,,
20221220_174750,35,,,,,,,,,,,,,
20221220_174751,39,,,,,,,,,,,,,
20221220_174751,36,,,,,,,,,,,,,
20221220_174751,41,,,,,,,,,,,,,
20221220_174751,33,,,,,,,,,,,,,
20221220_174751,36,,,,,,,,,,,,,
20221220_174751,35,,,,,,,,,,,,,
20221220_174751,38,,,,,,,,,,,,,
20221220_174751,35,,,,,,,,,,,,,
20221220_174751,42,,,,,,,,,,,,,
20221220_174751,41,,,,,,,,,,,,,
20221220_174751,37,,,,,,,,,,,,,
20221220_174751,43,,,,,,,,,,,,,
20221220_174751,36,,,,,,,,,,,,,
20221220_174751,42,,,,,,,,,,,,,
20221220_174751,42,,,,,,,,,,,,,
20221220_174751,39,,,,,,,,,,,,,
20221220_174751,46,,,,,,,,,,,,,
20221220_174751,39,,,,,,,,,,,,,
20221220_174752,45,,,,,,,,,,,,,
20221220_174752,32,,,,,,,,,,,,,
20221220_174752,46,,,,,,,,,,,,,
20221220_174752,39,,,,,,,,,,,,,
20221220_174752,44,,,,,,,,,,,,,
20221220_174752,38,,,,,,,,,,,,,
20221220_174752,39,,,,,,,,,,,,,
20221220_174752,38,,,,,,,,,,,,,
20221220_174752,39,,,,,,,,,,,,,
20221220_174752,41,,,,,,,,,,,,,
20221220_174752,35,,,,,,,,,,,,,
20221220_174752,42,,,,,,,,,,,,,
20221220_174752,45,,,,,,,,,,,,,
20221220_174752,37,,,,,,,,,,,,,
20221220_174752,38,,,,,,,,,,,,,
20221220_174752,36,,,,,,,,,,,,,
20221220_174752,39,,,,,,,,,,,,,
20221220_174752,41,,,,,,,,,,,,,
20221220_174753,44,,,,,,,,,,,,,
20221220_174753,41,,,,,,,,,,,,,
20221220_174753,36,,,,,,,,,,,,,
20221220_174753,39,,,,,,,,,,,,,
20221220_174753,34,,,,,,,,,,,,,
20221220_174753,43,,,,,,,,,,,,,
20221220_174753,44,,,,,,,,,,,,,
20221220_174753,35,,,,,,,,,,,,,
20221220_174753,32,,,,,,,,,,,,,
20221220_174753,32,,,,,,,,,,,,,
20221220_174753,38,,,,,,,,,,,,,
20221220_174753,36,,,,,,,,,,,,,
20221220_174753,35,,,,,,,,,,,,,
20221220_174753,41,,,,,,,,,,,,,
20221220_174753,37,,,,,,,,,,,,,
20221220_174753,35,,,,,,,,,,,,,
20221220_174753,45,,,,,,,,,,,,,
20221220_174753,39,,,,,,,,,,,,,
20221220_174754,39,,,,,,,,,,,,,
20221220_174754,36,,,,,,,,,,,,,
20221220_174754,37,,,,,,,,,,,,,
20221220_174754,37,,,,,,,,,,,,,
20221220_174754,36,,,,,,,,,,,,,
20221220_174754,38,,,,,,,,,,,,,
20221220_174754,36,,,,,,,,,,,,,
20221220_174754,41,,,,,,,,,,,,,
20221220_174754,39,,,,,,,,,,,,,
20221220_174754,36,,,,,,,,,,,,,
20221220_174754,37,,,,,,,,,,,,,
20221220_174754,41,,,,,,,,,,,,,
