Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,
20221220_183734,37,,115,,,,,,,,,,,
20221220_183734,32,,97,,,,,,,,,,,
20221220_183734,41,,107,,,,,,,,,,,
20221220_183734,38,,107,,,,,,,,,,,
20221220_183734,41,,106,,,,,,,,,,,
20221220_183734,37,,112,,,,,,,,,,,
20221220_183734,37,,125,,,,,,,,,,,
20221220_183734,37,,119,,,,,,,,,,,
20221220_183735,38,,113,,,,,,,,,,,
20221220_183735,35,,113,,,,,,,,,,,
20221220_183735,33,,116,,,,,,,,,,,
20221220_183735,42,,108,,,,,,,,,,,
20221220_183735,38,,113,,,,,,,,,,,
20221220_183735,31,,,,,,,,,,,,,
20221220_183735,39,,,,,,,,,,,,,
20221220_183735,36,,,,,,,,,,,,,
20221220_183735,41,,,,,,,,,,,,,
20221220_183735,42,,,,,,,,,,,,,
20221220_183735,38,,,,,,,,,,,,,
20221220_183735,42,,,,,,,,,,,,,
20221220_183735,41,,,,,,,,,,,,,
20221220_183735,41,,,,,,,,,,,,,
20221220_183735,37,,,,,,,,,,,,,
20221220_183735,37,,,,,,,,,,,,,
20221220_183735,37,,,,,,,,,,,,,
20221220_183736,36,,,,,,,,,,,,,
20221220_183736,38,,,,,,,,,,,,,
