Time,CameraA Max
20221216_170448,8
20221216_170448,0
20221216_170448,0
20221216_170448,7
20221216_170448,11
20221216_170448,7
20221216_170448,0
20221216_170448,0
20221216_170448,1
20221216_170448,0
20221216_170448,9
20221216_170448,5
20221216_170448,2
20221216_170448,0
20221216_170449,0
20221216_170449,7
20221216_170449,33
20221216_170449,42
20221216_170449,29
20221216_170449,47
20221216_170449,108
20221216_170449,212
20221216_170449,3685
20221216_170449,4095
20221216_170449,3655
20221216_170449,1610
20221216_170450,778
20221216_170450,437
20221216_170450,410
20221216_170450,366
20221216_170450,347
20221216_170450,328
20221216_170450,157
20221216_170450,140
20221216_170450,131
20221216_170450,153
20221216_170450,94
20221216_170450,202
20221216_170450,291
20221216_170450,384
20221216_170450,425
20221216_170450,451
20221216_170450,387
20221216_170450,433
20221216_170451,423
20221216_170451,431
20221216_170451,407
20221216_170451,449
20221216_170451,489
20221216_170451,455
20221216_170451,463
20221216_170451,441
20221216_170451,444
20221216_170451,482
20221216_170451,424
20221216_170451,483
20221216_170451,455
20221216_170451,392
20221216_170451,520
20221216_170451,515
20221216_170451,531
20221216_170451,470
20221216_170452,499
20221216_170452,501
20221216_170452,483
20221216_170452,444
20221216_170452,397
20221216_170452,431
20221216_170452,493
20221216_170452,405
20221216_170452,457
20221216_170452,441
20221216_170452,423
20221216_170452,514
20221216_170452,457
20221216_170452,352
20221216_170452,488
20221216_170452,450
20221216_170452,419
20221216_170453,475
20221216_170453,441
20221216_170453,371
20221216_170453,454
20221216_170453,443
20221216_170453,387
20221216_170453,449
20221216_170453,518
20221216_170453,444
20221216_170453,423
20221216_170453,410
20221216_170453,520
20221216_170453,388
20221216_170453,401
20221216_170453,484
20221216_170453,382
20221216_170453,457
20221216_170453,437
20221216_170454,459
20221216_170454,455
20221216_170454,431
20221216_170454,430
20221216_170454,442
20221216_170454,438
20221216_170454,424
20221216_170454,521
20221216_170454,422
20221216_170454,472
20221216_170454,483
20221216_170454,356
20221216_170454,371
20221216_170454,412
20221216_170454,408
20221216_170454,408
20221216_170454,359
20221216_170454,480
20221216_170455,404
20221216_170455,435
20221216_170455,488
20221216_170455,429
20221216_170455,422
20221216_170455,418
20221216_170455,438
20221216_170455,457
20221216_170455,464
20221216_170455,427
20221216_170455,418
20221216_170455,436
20221216_170455,428
20221216_170455,519
20221216_170455,421
20221216_170455,471
20221216_170455,501
20221216_170455,436
20221216_170456,393
20221216_170456,458
20221216_170456,490
20221216_170456,438
20221216_170456,443
20221216_170456,381
20221216_170456,454
20221216_170456,409
20221216_170456,367
20221216_170456,320
20221216_170456,470
20221216_170456,454
20221216_170456,472
20221216_170456,495
20221216_170456,452
20221216_170456,442
20221216_170456,371
20221216_170456,529
20221216_170457,463
20221216_170457,412
20221216_170457,412
20221216_170457,502
20221216_170457,438
20221216_170457,399
20221216_170457,408
20221216_170457,436
20221216_170457,504
20221216_170457,409
20221216_170457,373
