Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,
20221220_184824,166,328,496,626,959,1285,,,,,,,,
20221220_184824,173,336,485,633,937,1303,,,,,,,,
20221220_184824,171,343,485,654,933,1306,,,,,,,,
20221220_184824,177,327,489,652,978,1293,,,,,,,,
20221220_184824,155,310,499,657,979,1290,,,,,,,,
20221220_184825,170,330,464,641,946,1297,,,,,,,,
20221220_184825,169,303,493,649,950,1299,,,,,,,,
20221220_184825,167,328,482,622,959,1329,,,,,,,,
20221220_184825,164,331,477,624,974,1303,,,,,,,,
20221220_184825,169,313,482,643,964,1294,,,,,,,,
20221220_184825,174,317,462,627,941,1294,,,,,,,,
20221220_184825,172,323,480,640,1008,1344,,,,,,,,
20221220_184825,165,328,,643,982,1307,,,,,,,,
20221220_184825,168,331,,664,958,,,,,,,,,
20221220_184825,176,321,,631,943,,,,,,,,,
20221220_184825,170,,,633,956,,,,,,,,,
20221220_184825,167,,,648,961,,,,,,,,,
20221220_184825,179,,,644,973,,,,,,,,,
20221220_184825,155,,,631,970,,,,,,,,,
20221220_184825,168,,,644,927,,,,,,,,,
20221220_184825,175,,,640,963,,,,,,,,,
20221220_184825,175,,,641,982,,,,,,,,,
20221220_184826,170,,,622,973,,,,,,,,,
20221220_184826,177,,,636,967,,,,,,,,,
20221220_184826,165,,,612,968,,,,,,,,,
20221220_184826,169,,,644,962,,,,,,,,,
20221220_184826,177,,,666,966,,,,,,,,,
20221220_184826,156,,,622,970,,,,,,,,,
20221220_184826,172,,,651,987,,,,,,,,,
20221220_184826,177,,,614,952,,,,,,,,,
20221220_184826,168,,,613,965,,,,,,,,,
20221220_184826,174,,,646,981,,,,,,,,,
20221220_184826,161,,,626,946,,,,,,,,,
20221220_184826,146,,,633,976,,,,,,,,,
20221220_184826,161,,,618,957,,,,,,,,,
20221220_184826,157,,,630,949,,,,,,,,,
20221220_184826,177,,,655,968,,,,,,,,,
20221220_184826,155,,,645,960,,,,,,,,,
20221220_184826,176,,,644,962,,,,,,,,,
20221220_184826,180,,,610,958,,,,,,,,,
20221220_184827,169,,,636,983,,,,,,,,,
20221220_184827,180,,,642,968,,,,,,,,,
20221220_184827,176,,,627,970,,,,,,,,,
20221220_184827,174,,,619,974,,,,,,,,,
20221220_184827,166,,,623,,,,,,,,,,
20221220_184827,171,,,633,,,,,,,,,,
20221220_184827,172,,,633,,,,,,,,,,
20221220_184827,169,,,612,,,,,,,,,,
20221220_184827,171,,,608,,,,,,,,,,
20221220_184827,170,,,630,,,,,,,,,,
20221220_184827,173,,,,,,,,,,,,,
20221220_184827,179,,,,,,,,,,,,,
