Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,CameraA Max1,CameraA Max2,CameraA Max3,CameraA Max4,CameraB Max1,CameraB Max2,CameraB Max3,CameraB Max4
20221022_132447,175,175,91,89,"175: ([217],[1774])","109: ([891],[778])","97: ([295],[242])","89: ([562],[591])","91: ([821],[1363])","46: ([1011],[1279])","45: ([99],[637])","41: ([810],[577])"
20221022_132447,176,175,92,89,"176: ([217],[1774])","109: ([891],[778])","97: ([295],[242])","89: ([562],[591])","92: ([821],[1363])","45: ([1011],[1279])","41: ([99],[637])","39: ([ 492 1341],[1243  719])"
20221022_132447,170,175,95,89,"170: ([217],[1774])","103: ([891],[778])","89: ([295],[242])","87: ([562],[591])","95: ([821],[1363])","45: ([99],[637])","42: ([1341],[719])","38: ([810],[577])"
20221022_132448,174,175,84,89,"174: ([217],[1774])","110: ([891],[778])","102: ([295],[242])","91: ([562],[591])","84: ([821],[1363])","45: ([1341],[719])","44: ([492],[1243])","43: ([99],[637])"
20221022_132448,172,175,87,89,"172: ([217],[1774])","116: ([891],[778])","96: ([295],[242])","85: ([562],[591])","87: ([821],[1363])","44: ([99],[637])","39: ([1011],[1279])","38: ([ 810 1341],[577 719])"
20221022_132448,173,175,86,89,"173: ([217],[1774])","114: ([891],[778])","94: ([295],[242])","88: ([562],[591])","86: ([821],[1363])","42: ([ 252 1341],[1034  719])","42: ([ 252 1341],[1034  719])","37: ([  99  810 1011],[ 637  577 1279])"
20221022_132448,163,174,94,89,"163: ([217],[1774])","107: ([891],[778])","90: ([295],[242])","86: ([562],[591])","94: ([821],[1363])","43: ([99],[637])","41: ([158],[95])","39: ([1341],[719])"
20221022_132449,176,174,89,89,"176: ([217],[1774])","105: ([891],[778])","103: ([295],[242])","88: ([562],[591])","89: ([821],[1363])","44: ([1341],[719])","41: ([99],[637])","38: ([ 492 1011],[1243 1279])"
20221022_132449,179,174,96,89,"179: ([217],[1774])","108: ([891],[778])","96: ([295 562],[242 591])","96: ([295 562],[242 591])","96: ([821],[1363])","47: ([1011],[1279])","46: ([1341],[719])","42: ([99],[637])"
20221022_132449,170,174,95,90,"170: ([217],[1774])","105: ([295],[242])","100: ([891],[778])","88: ([562],[591])","95: ([821],[1363])","45: ([1341],[719])","43: ([  99 1011],[ 637 1279])","43: ([  99 1011],[ 637 1279])"
