Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,,,,,,,,,,,,
20221101_201139,374,358,534,508,338,497,1.470414201,-0.001395888,0.001395888,,719.1489362,710,0.987278107,-0.000937239,0.000937239,
20221101_201139,379,359,534,509,339,498,1.469026549,-0.001387653,0.001387653,,721.2765957,711.4285714,0.986346397,-0.00093171,0.00093171,
20221101_201139,375,359,533,510,339,499,1.471976401,0.002949853,0.002949853,,721.2765957,712.8571429,0.988327012,0.001980615,0.001980615,
20221101_201139,388,360,520,512,340,501,1.473529412,0.001553011,0.001553011,,723.4042553,715.7142857,0.989369748,0.001042736,0.001042736,
20221101_201139,371,361,524,512,341,501,1.469208211,-0.004321201,0.004321201,,725.5319149,715.7142857,0.98646837,-0.002901378,0.002901378,
20221101_201140,373,361,519,513,341,502,1.472140762,0.002932551,0.002932551,,725.5319149,717.1428571,0.988437369,0.001968999,0.001968999,
20221101_201140,383,362,536,513,342,502,1.467836257,-0.004304505,0.004304505,,727.6595745,717.1428571,0.985547201,-0.002890168,0.002890168,
20221101_201140,379,362,550,514,342,503,1.470760234,0.002923977,0.002923977,,727.6595745,718.5714286,0.987510443,0.001963241,0.001963241,
20221101_201140,373,362,517,515,342,504,1.473684211,0.002923977,0.002923977,,727.6595745,720,0.989473684,0.001963241,0.001963241,
20221101_201140,369,363,516,515,343,504,1.469387755,-0.004296455,0.004296455,,729.787234,720,0.986588921,-0.002884763,0.002884763,
20221101_201140,376,363,512,516,343,505,1.472303207,0.002915452,0.002915452,,729.787234,721.4285714,0.988546439,0.001957518,0.001957518,
20221101_201141,371,364,527,517,344,506,1.470930233,-0.001372974,0.001372974,,731.9148936,722.8571429,0.987624585,-0.000921854,0.000921854,
20221101_201141,358,364,499,518,344,507,1.473837209,0.002906977,0.002906977,,731.9148936,724.2857143,0.989576412,0.001951827,0.001951827,
20221101_201141,370,365,531,518,345,507,1.469565217,-0.004271992,0.004271992,,734.0425532,724.2857143,0.986708075,-0.002868337,0.002868337,
20221101_201142,359,365,513,519,345,508,1.472463768,0.002898551,0.002898551,,734.0425532,725.7142857,0.988654244,0.00194617,0.00194617,
20221101_201142,382,366,527,519,346,508,1.468208092,-0.004255676,0.004255676,,736.1702128,725.7142857,0.985796862,-0.002857382,0.002857382,
20221101_201142,411,366,563,520,346,509,1.471098266,0.002890173,0.002890173,,736.1702128,727.1428571,0.987737407,0.001940545,0.001940545,
20221101_201142,410,367,600,521,347,510,1.469740634,-0.001357632,0.001357632,,738.2978723,728.5714286,0.986825854,-0.000911553,0.000911553,
20221101_201142,417,367,600,522,347,511,1.472622478,0.002881844,0.002881844,,738.2978723,730,0.988760807,0.001934953,0.001934953,
20221101_201142,417,368,617,523,348,512,1.471264368,-0.001358111,0.001358111,,740.4255319,731.4285714,0.987848933,-0.000911874,0.000911874,
20221101_201143,415,369,614,524,349,513,1.46991404,-0.001350328,0.001350328,,742.5531915,732.8571429,0.986942284,-0.000906649,0.000906649,
20221101_201143,425,370,613,525,350,514,1.468571429,-0.001342612,0.001342612,,744.6808511,734.2857143,0.986040816,-0.000901468,0.000901468,
20221101_201143,419,370,601,526,350,515,1.471428571,0.002857143,0.002857143,,744.6808511,735.7142857,0.987959184,0.001918367,0.001918367,
20221101_201143,417,371,594,526,351,515,1.467236467,-0.004192104,0.004192104,,746.8085106,735.7142857,0.985144485,-0.002814699,0.002814699,
20221101_201143,410,371,586,527,351,516,1.47008547,0.002849003,0.002849003,,746.8085106,737.1428571,0.987057387,0.001912902,0.001912902,
20221101_201143,420,372,602,528,352,517,1.46875,-0.00133547,0.00133547,,748.9361702,738.5714286,0.986160714,-0.000896673,0.000896673,
20221101_201143,416,372,634,529,352,518,1.471590909,0.002840909,0.002840909,,748.9361702,740,0.988068182,0.001907468,0.001907468,
20221101_201143,423,373,625,530,353,519,1.470254958,-0.001335952,0.001335952,,751.0638298,741.4285714,0.987171186,-0.000896996,0.000896996,
20221101_201143,418,374,604,531,354,520,1.468926554,-0.001328404,0.001328404,,753.1914894,742.8571429,0.986279257,-0.000891928,0.000891928,
20221101_201143,419,374,611,532,354,521,1.471751412,0.002824859,0.002824859,,753.1914894,744.2857143,0.988175948,0.001896691,0.001896691,
20221101_201144,428,375,620,533,355,522,1.470422535,-0.001328877,0.001328877,,755.3191489,745.7142857,0.987283702,-0.000892246,0.000892246,
20221101_201144,429,375,627,534,355,523,1.473239437,0.002816901,0.002816901,,755.3191489,747.1428571,0.98917505,0.001891348,0.001891348,
20221101_201144,427,376,606,535,356,524,1.471910112,-0.001329324,0.001329324,,757.4468085,748.5714286,0.988282504,-0.000892546,0.000892546,
20221101_201144,428,377,621,537,357,526,1.473389356,0.001479243,0.001479243,,759.5744681,751.4285714,0.98927571,0.000993206,0.000993206,
20221101_201144,449,378,652,539,358,528,1.474860335,0.001470979,0.001470979,,761.7021277,754.2857143,0.990263368,0.000987658,0.000987658,
20221101_201144,444,379,646,540,359,529,1.473537604,-0.001322731,0.001322731,,763.8297872,755.7142857,0.989375249,-0.000888119,0.000888119,
20221101_201144,436,380,637,541,360,530,1.472222222,-0.001315382,0.001315382,,765.9574468,757.1428571,0.988492063,-0.000883185,0.000883185,
20221101_201144,431,380,645,542,360,531,1.475,0.002777778,0.002777778,,765.9574468,758.5714286,0.990357143,0.001865079,0.001865079,
20221101_201144,440,381,666,544,361,533,1.476454294,0.001454294,0.001454294,,768.0851064,761.4285714,0.991333597,0.000976454,0.000976454,
20221101_201145,438,382,643,545,362,534,1.475138122,-0.001316172,0.001316172,,770.212766,762.8571429,0.990449882,-0.000883716,0.000883716,
20221101_201145,444,383,643,546,363,535,1.473829201,-0.00130892,0.00130892,,772.3404255,764.2857143,0.989571035,-0.000878847,0.000878847,
20221101_201145,422,383,633,547,363,536,1.476584022,0.002754821,0.002754821,,772.3404255,765.7142857,0.991420701,0.001849665,0.001849665,
20221101_201145,428,384,639,549,364,538,1.478021978,0.001437956,0.001437956,,774.4680851,768.5714286,0.992386185,0.000965485,0.000965485,
20221101_201145,448,385,640,550,365,539,1.476712329,-0.001309649,0.001309649,,776.5957447,770,0.991506849,-0.000879336,0.000879336,
20221101_201145,438,385,649,551,365,540,1.479452055,0.002739726,0.002739726,,776.5957447,771.4285714,0.99334638,0.00183953,0.00183953,
20221101_201145,435,386,605,552,366,541,1.478142077,-0.001309978,0.001309978,,778.7234043,772.8571429,0.992466823,-0.000879557,0.000879557,
20221101_201145,442,387,655,554,367,543,1.479564033,0.001421956,0.001421956,,780.8510638,775.7142857,0.993421565,0.000954742,0.000954742,
20221101_201145,440,387,641,555,367,544,1.482288828,0.002724796,0.002724796,,780.8510638,777.1428571,0.99525107,0.001829506,0.001829506,
20221101_201145,440,388,646,556,368,545,1.480978261,-0.001310567,0.001310567,,782.9787234,778.5714286,0.994371118,-0.000879952,0.000879952,
20221101_201145,448,389,640,557,369,546,1.479674797,-0.001303464,0.001303464,,785.106383,780,0.993495935,-0.000875183,0.000875183,
20221101_201146,451,390,631,558,370,547,1.478378378,-0.001296418,0.001296418,,787.2340426,781.4285714,0.992625483,-0.000870452,0.000870452,
20221101_201146,435,390,639,560,370,549,1.483783784,0.005405405,0.005405405,,787.2340426,784.2857143,0.996254826,0.003629344,0.003629344,
20221101_201146,441,391,628,561,371,550,1.482479784,-0.001303999,0.001303999,,789.3617021,785.7142857,0.995379284,-0.000875542,0.000875542,
20221101_201146,445,392,643,562,372,551,1.481182796,-0.001296989,0.001296989,,791.4893617,787.1428571,0.994508449,-0.000870835,0.000870835,
20221101_201146,435,392,647,563,372,552,1.483870968,0.002688172,0.002688172,,791.4893617,788.5714286,0.996313364,0.001804916,0.001804916,
20221101_201146,452,393,630,564,373,553,1.482573727,-0.001297241,0.001297241,,793.6170213,790,0.995442359,-0.000871005,0.000871005,
20221101_201146,436,394,647,566,374,555,1.483957219,0.001383493,0.001383493,,795.7446809,792.8571429,0.996371276,0.000928917,0.000928917,
20221101_201146,456,395,648,567,375,556,1.482666667,-0.001290553,0.001290553,,797.8723404,794.2857143,0.995504762,-0.000866514,0.000866514,
20221101_201146,425,395,647,568,375,557,1.485333333,0.002666667,0.002666667,,797.8723404,795.7142857,0.997295238,0.001790476,0.001790476,
20221101_201146,444,396,635,569,376,558,1.484042553,-0.00129078,0.00129078,,800,797.1428571,0.996428571,-0.000866667,0.000866667,
20221101_201147,432,396,669,571,376,560,1.489361702,0.005319149,0.005319149,,800,800,1,0.003571429,0.003571429,
20221101_201147,444,397,638,571,377,560,1.485411141,-0.003950562,0.003950562,,802.1276596,800,0.99734748,-0.00265252,0.00265252,
20221101_201147,443,398,631,573,378,562,1.486772487,0.001361346,0.001361346,,804.2553191,802.8571429,0.998261527,0.000914047,0.000914047,
20221101_201147,440,399,627,573,379,562,1.482849604,-0.003922883,0.003922883,,806.3829787,802.8571429,0.995627591,-0.002633935,0.002633935,
20221101_201147,439,400,680,575,380,564,1.484210526,0.001360922,0.001360922,,808.5106383,805.7142857,0.996541353,0.000913762,0.000913762,
20221101_201147,428,400,665,576,380,565,1.486842105,0.002631579,0.002631579,,808.5106383,807.1428571,0.998308271,0.001766917,0.001766917,
20221101_201147,450,401,656,578,381,567,1.488188976,0.001346871,0.001346871,,810.6382979,810,0.999212598,0.000904328,0.000904328,
20221101_201147,431,402,615,579,382,568,1.486910995,-0.001277982,0.001277982,,812.7659574,811.4285714,0.998354525,-0.000858073,0.000858073,
20221101_201147,438,403,640,581,383,570,1.488250653,0.001339658,0.001339658,,814.893617,814.2857143,0.99925401,0.000899485,0.000899485,
20221101_201148,442,404,651,582,384,571,1.486979167,-0.001271486,0.001271486,,817.0212766,815.7142857,0.998400298,-0.000853712,0.000853712,
20221101_201148,444,405,631,583,385,572,1.485714286,-0.001264881,0.001264881,,819.1489362,817.1428571,0.99755102,-0.000849277,0.000849277,
20221101_201148,425,406,649,585,386,574,1.487046632,0.001332346,0.001332346,,821.2765957,820,0.998445596,0.000894575,0.000894575,
20221101_201148,450,406,620,586,386,575,1.489637306,0.002590674,0.002590674,,821.2765957,821.4285714,1.000185048,0.001739452,0.001739452,
20221101_201148,430,407,620,587,387,576,1.488372093,-0.001265213,0.001265213,,823.4042553,822.8571429,0.999335548,-0.0008495,0.0008495,
20221101_201148,434,408,613,587,388,576,1.484536082,-0.003836011,0.003836011,,825.5319149,822.8571429,0.996759941,-0.002575607,0.002575607,
20221101_201148,441,408,631,588,388,577,1.487113402,0.00257732,0.00257732,,825.5319149,824.2857143,0.998490427,0.001730486,0.001730486,
20221101_201148,425,409,596,589,389,578,1.485861183,-0.00125222,0.00125222,,827.6595745,825.7142857,0.997649651,-0.000840776,0.000840776,
20221101_201148,430,409,634,590,389,579,1.488431877,0.002570694,0.002570694,,827.6595745,827.1428571,0.999375689,0.001726037,0.001726037,
20221101_201149,424,410,648,591,390,580,1.487179487,-0.001252389,0.001252389,,829.787234,828.5714286,0.998534799,-0.00084089,0.00084089,
20221101_201149,435,411,617,592,391,581,1.485933504,-0.001245983,0.001245983,,831.9148936,830,0.99769821,-0.000836589,0.000836589,
20221101_201149,433,411,644,593,391,582,1.488491049,0.002557545,0.002557545,,831.9148936,831.4285714,0.999415418,0.001717209,0.001717209,
20221101_201149,420,412,608,594,392,583,1.487244898,-0.001246151,0.001246151,,834.0425532,832.8571429,0.998578717,-0.000836701,0.000836701,
20221101_201149,415,413,612,595,393,584,1.486005089,-0.001239809,0.001239809,,836.1702128,834.2857143,0.997746274,-0.000832443,0.000832443,
20221101_201149,428,413,617,596,393,585,1.488549618,0.002544529,0.002544529,,836.1702128,835.7142857,0.999454744,0.00170847,0.00170847,
20221101_201149,410,414,592,597,394,586,1.487309645,-0.001239974,0.001239974,,838.2978723,837.1428571,0.99862219,-0.000832554,0.000832554,
20221101_201149,428,414,594,598,394,587,1.489847716,0.002538071,0.002538071,,838.2978723,838.5714286,1.000326323,0.001704133,0.001704133,
20221101_201150,429,415,583,598,395,587,1.486075949,-0.003771766,0.003771766,,840.4255319,838.5714286,0.997793852,-0.002532472,0.002532472,
20221101_201150,427,415,608,599,395,588,1.488607595,0.002531646,0.002531646,,840.4255319,840,0.999493671,0.001699819,0.001699819,
20221101_201150,425,416,607,600,396,589,1.487373737,-0.001233858,0.001233858,,842.5531915,841.4285714,0.998665224,-0.000828447,0.000828447,
20221101_201150,416,416,606,601,396,590,1.48989899,0.002525253,0.002525253,,842.5531915,842.8571429,1.00036075,0.001695527,0.001695527,
20221101_201150,422,417,602,602,397,591,1.488664987,-0.001234002,0.001234002,,844.6808511,844.2857143,0.999532206,-0.000828545,0.000828545,
20221101_201150,422,417,607,603,397,592,1.491183879,0.002518892,0.002518892,,844.6808511,845.7142857,1.001223462,0.001691256,0.001691256,
20221101_201150,436,418,604,604,398,593,1.489949749,-0.00123413,0.00123413,,846.8085106,847.1428571,1.000394831,-0.00082863,0.00082863,
20221101_201150,427,419,645,605,399,594,1.488721805,-0.001227944,0.001227944,,848.9361702,848.5714286,0.999570354,-0.000824477,0.000824477,
20221101_201150,435,419,601,606,399,595,1.49122807,0.002506266,0.002506266,,848.9361702,850,1.001253133,0.001682778,0.001682778,
